fold,auc,brier,logloss,n_val
1,0.8487757043549158,0.15870533883571625,0.4725439292966406,192541
2,0.8521027999504274,0.15672005712985992,0.46779471874481393,192540
3,0.8549991929249922,0.15579839050769806,0.4660505415113923,192539
4,0.8516859399617515,0.15628820657730103,0.46671678747347906,192627
5,0.8415500934385185,0.16222529113292694,0.4812973685274997,192624
